Time,Lambda
0,0.21331058
0.674914141,0.21331058
1.349828283,0.21331058
2.024742424,0.21331058
2.699656566,0.21331058
3.374570707,0.21331058
4.049484848,0.21331058
4.72439899,0.168881833
5.399313131,0.168881833
6.074227273,0.168881833
6.749141414,0.168881833
7.424055556,0.168881833
8.098969697,0.168881833
8.773883838,0.168881833
9.44879798,0.168881833
10.12371212,0.168881833
10.79862626,0.132909794
11.4735404,0.132909794
12.14845455,0.132909794
12.82336869,0.132909794
13.49828283,0.132909794
14.17319697,0.132909794
14.84811111,0.132909794
15.52302525,0.132909794
16.19793939,0.132909794
16.87285354,0.132909794
17.54776768,0.132909794
18.22268182,0.099190605
18.89759596,0.099190605
19.5725101,0.099190605
20.24742424,0.099190605
20.92233838,0.099190605
21.59725253,0.099190605
22.27216667,0.099190605
22.94708081,0.099190605
23.62199495,0.099190605
24.29690909,0.099190605
24.97182323,0.099190605
25.64673737,0.099190605
26.32165152,0.099190605
26.99656566,0.099190605
27.6714798,0.099190605
28.34639394,0.067128961
29.02130808,0.067128961
29.69622222,0.067128961
30.37113636,0.067128961
31.04605051,0.067128961
31.72096465,0.067128961
32.39587879,0.067128961
33.07079293,0.067128961
33.74570707,0.067128961
34.42062121,0.067128961
35.09553535,0.067128961
35.77044949,0.067128961
36.44536364,0.067128961
37.12027778,0.067128961
37.79519192,0.067128961
38.47010606,0.067128961
39.1450202,0.067128961
39.81993434,0.067128961
40.49484848,0.067128961
41.16976263,0.067128961
41.84467677,0.067128961
42.51959091,0.067128961
43.19450505,0.042185193
43.86941919,0.042185193
44.54433333,0.042185193
45.21924747,0.042185193
45.89416162,0.042185193
46.56907576,0.042185193
47.2439899,0.042185193
47.91890404,0.042185193
48.59381818,0.042185193
49.26873232,0.042185193
49.94364646,0.042185193
50.61856061,0.042185193
51.29347475,0.042185193
51.96838889,0.042185193
52.64330303,0.042185193
53.31821717,0.042185193
53.99313131,0.042185193
54.66804545,0.042185193
55.3429596,0.042185193
56.01787374,0.042185193
56.69278788,0.042185193
57.36770202,0.042185193
58.04261616,0.042185193
58.7175303,0.042185193
59.39244444,0.042185193
60.06735859,0.042185193
60.74227273,0.042185193
61.41718687,0.042185193
62.09210101,0.042185193
62.76701515,0.042185193
63.44192929,0.042185193
64.11684343,0.042185193
64.79175758,0.042185193
65.46667172,0.042185193
66.14158586,0.042185193
66.8165,0.042185193
